dept_id,dept_name,dept_category,division,dept_type,dept_age_years,location_type,team_size,reporting_structure,manager_experience_level,supervisor_experience_level,primary_function,secondary_function,creation_reason,oversight_body,reporting_lag_days,training_hours_quarterly,violations_past_3years,remediation_plan_active,executive_support,external_consulting,engagement_programs,onboarding_program,improvement_commitment,digital_systems,external_partnerships,interdept_collaboration_score,resource_availability_score,external_interactions_frequency,risk_exposure_operational,risk_exposure_financial,operational_health_index,reporting_gaps_annual,audit_score_q1,audit_score_q2,compliance_score_final,overall_risk_score
DEPT-1620,Core Compliance,Financial_Reporting,Corporate_HQ,Operations,8.0,Remote,Large,Centralized,2.0,2.0,Other,Other,Restructuring,Internal_Audit,1.0,,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,,3.0,2.0,3.0,1.0,,5.0,,55.0,55.0,65.0,12.0
DEPT-1133,Digital Governance,Financial_Reporting,Corporate_HQ,Compliance,8.0,Urban,Large,Centralized,2.0,2.0,Other,Administrative,Regulation,,1.0,20.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,4.0,,2.0,2.0,1.0,26.0,,40.0,,43.0
DEPT-4917,Central Hub,Operational_Compliance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEPT-6959,Compliance - Legacy Region,Financial_Reporting,Corporate_HQ,Support,8.0,Urban,Large,Centralized,4.0,3.0,Other,Other,Regulation,Internal_Audit,1.0,60.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,4.0,1.0,1.0,5.0,2.0,70.0,75.0,85.0,11.0
DEPT-4312,West Internal Controls,Financial_Reporting,Corporate_HQ,Operations,6.0,Urban,Small,Centralized,1.0,,Other,Other,Restructuring,Internal_Audit,2.0,40.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,4.0,2.0,1.0,1.0,5.0,2.0,45.0,45.0,45.0,11.0
DEPT-3347,Business Integrity - Central Region,Financial_Reporting,Corporate_HQ,Operations,6.0,Urban,Small,Centralized,2.0,1.0,Administrative,Other,Regulation,,1.0,20.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,4.0,4.0,3.0,5.0,5.0,6.0,45.0,50.0,50.0,53.0
DEPT-2437,Tactical Ethics and Compliance,Operational_Compliance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEPT-7949,Internal Controls - Tactical Region,Financial_Reporting,Corporate_HQ,Support,5.0,Urban,Large,Centralized,1.0,1.0,,Other,Restructuring,External_Auditor,1.0,40.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,4.0,3.0,2.0,2.0,3.0,,2.0,65.0,60.0,60.0,26.0
DEPT-2554,Central Team,Financial_Reporting,Corporate_HQ,Support,5.0,Urban,Small,Autonomous,3.0,3.0,Other,,Merger,Internal_Audit,1.0,20.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,3.0,4.0,4.0,4.0,1.0,0.0,65.0,60.0,65.0,40.0
DEPT-3264,Premier Hub,Operational_Compliance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEPT-7536,East Operations,Operational_Compliance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEPT-3151,Compliance - East Region,Financial_Reporting,Corporate_HQ,,8.0,Urban,Small,Centralized,3.0,3.0,Operations,Finance,Restructuring,External_Auditor,1.0,40.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,,3.0,2.0,4.0,,4.0,4.0,10.0,50.0,50.0,50.0,35.0
DEPT-3953,Compliance - Emerging Region,Financial_Reporting,Corporate_HQ,Support,6.0,Urban,Small,Centralized,2.0,2.0,Administrative,Other,Regulation,Internal_Audit,1.0,40.0,0.0,0.0,1.0,0.0,0.0,,1.0,,0.0,4.0,3.0,4.0,1.0,2.0,2.0,6.0,65.0,55.0,55.0,18.0
DEPT-1061,Compliance - Legacy Region,Operational_Compliance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEPT-5245,Internal Controls - South Region,Financial_Reporting,Corporate_HQ,Support,8.0,Urban,Large,Centralized,2.0,1.0,Operations,,Expansion,Internal_Audit,1.0,40.0,3.0,0.0,,0.0,1.0,1.0,,1.0,1.0,5.0,4.0,5.0,1.0,,5.0,10.0,50.0,45.0,40.0,55.0
DEPT-9066,Global Audit Services,Operational_Compliance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEPT-7627,Alpha Compliance,Financial_Reporting,Corporate_HQ,Support,6.0,Urban,Small,Centralized,4.0,3.0,Compliance,Operations,Regulation,Internal_Audit,3.0,40.0,0.0,,1.0,0.0,1.0,1.0,1.0,,0.0,5.0,4.0,3.0,1.0,2.0,1.0,2.0,80.0,75.0,80.0,16.0
DEPT-2895,Central Services,Financial_Reporting,Corporate_HQ,Support,6.0,Urban,Large,Autonomous,3.0,4.0,,Other,Regulation,External_Auditor,1.0,20.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,2.0,,1.0,4.0,5.0,12.0,75.0,65.0,70.0,31.0
DEPT-8602,Process Excellence - South Region,Financial_Reporting,Corporate_HQ,Support,7.0,,Large,Centralized,2.0,1.0,Administrative,Operations,Expansion,Internal_Audit,,,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,,4.0,2.0,5.0,1.0,2.0,5.0,0.0,55.0,50.0,55.0,15.0
DEPT-4790,Central Business Integrity,Financial_Reporting,Corporate_HQ,Support,6.0,Urban,Large,Centralized,4.0,,Compliance,Finance,Restructuring,Internal_Audit,1.0,60.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,,,4.0,2.0,4.0,4.0,0.0,70.0,65.0,65.0,30.0
DEPT-1003,Process Excellence - Elite Region,Financial_Reporting,Corporate_HQ,Support,8.0,Urban,Large,Centralized,1.0,,Other,Other,Restructuring,Internal_Audit,2.0,,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,5.0,4.0,4.0,1.0,1.0,4.0,0.0,60.0,65.0,65.0,
DEPT-3374,Internal Controls - Prime Region,Financial_Reporting,Corporate_HQ,Support,5.0,Remote,Large,Centralized,1.0,1.0,Other,Other,Regulation,Internal_Audit,3.0,20.0,1.0,,0.0,0.0,1.0,,1.0,1.0,1.0,5.0,5.0,,1.0,1.0,1.0,2.0,40.0,,45.0,21.0
DEPT-2904,Ethics and Compliance - Elite Region,Operational_Compliance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEPT-4742,Process Excellence - Elite Region,Operational_Compliance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEPT-8796,Strategic Department,Financial_Reporting,Corporate_HQ,Support,7.0,Urban,Large,Centralized,1.0,1.0,Administrative,,Expansion,Internal_Audit,1.0,60.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,,3.0,4.0,1.0,1.0,5.0,12.0,60.0,60.0,60.0,16.0
DEPT-1168,Regulatory Affairs - East Region,Financial_Reporting,Corporate_HQ,Support,5.0,Urban,Large,Centralized,1.0,2.0,Administrative,Operations,Regulation,Internal_Audit,1.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,3.0,,3.0,1.0,2.0,1.0,0.0,70.0,70.0,70.0,15.0
DEPT-7076,Compliance - West Region,Operational_Compliance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEPT-2644,Compliance - Core Region,Financial_Reporting,Corporate_HQ,Operations,,Urban,Small,Autonomous,3.0,2.0,Compliance,Operations,Restructuring,Internal_Audit,1.0,20.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,4.0,4.0,4.0,3.0,,3.0,18.0,65.0,65.0,65.0,44.0
DEPT-8610,Beta Risk Management,Operational_Compliance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEPT-9887,Premier Operations,Financial_Reporting,Corporate_HQ,Support,6.0,Urban,Large,Centralized,2.0,1.0,Other,Other,Regulation,Internal_Audit,1.0,40.0,0.0,0.0,1.0,0.0,0.0,1.0,,0.0,1.0,4.0,3.0,5.0,,1.0,5.0,0.0,65.0,60.0,60.0,10.0
DEPT-7569,Business Integrity - West Region,Financial_Reporting,Corporate_HQ,Operations,8.0,Urban,Large,Centralized,2.0,1.0,Operations,Operations,Expansion,,1.0,60.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0,2.0,4.0,1.0,3.0,2.0,0.0,70.0,75.0,75.0,20.0
DEPT-4301,South Ethics and Compliance,Financial_Reporting,Corporate_HQ,Support,5.0,Remote,Large,Centralized,1.0,1.0,Other,Other,Expansion,,1.0,40.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,3.0,4.0,2.0,4.0,5.0,2.0,65.0,55.0,55.0,31.0
DEPT-5732,Internal Controls - Metro Region,Financial_Reporting,Corporate_HQ,Support,7.0,Urban,Large,Centralized,2.0,2.0,Other,Other,Regulation,Internal_Audit,1.0,40.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,4.0,5.0,1.0,2.0,5.0,,60.0,,70.0,
DEPT-7733,Audit Services - Global Region,Financial_Reporting,Corporate_HQ,Support,5.0,Urban,Large,Centralized,1.0,1.0,Administrative,Other,Regulation,Internal_Audit,3.0,20.0,0.0,0.0,1.0,0.0,1.0,,1.0,,1.0,4.0,3.0,3.0,1.0,2.0,4.0,6.0,55.0,60.0,65.0,
DEPT-1237,Alpha Solutions,Financial_Reporting,Corporate_HQ,Support,8.0,Urban,Large,Centralized,3.0,,Other,Other,Regulation,Internal_Audit,1.0,20.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0,,4.0,,1.0,1.0,4.0,55.0,60.0,70.0,12.0
DEPT-8808,Compliance - Core Region,Risk_Management,Regional_Operations,,15.0,International,Small,Autonomous,3.0,,Technology,,Regulation,Internal_Audit,2.0,19.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,5.0,4.0,22.0,87.7,,82.7,86.0
